Chr	Bin	Grouped_pvalue	Rnk	Gene	Maize_Gene_Name	Species	QTLID	SourceID	Canopy_Level
7	14	2.82585265093126e-25	4	NA	NA	NA	309	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	310	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	311	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	312	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	313	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	397	Zhang et al.,2017	3
7	14	2.82585265093126e-25	4	NA	NA	NA	420	Zhang et al.,2017	5
7	14	2.82585265093126e-25	4	NA	NA	NA	444	Zhang et al.,2017	1
3	18	1.3337343424626727e-23	5	lg2	GRMZM2G060216	Maize	39	Tian et al.,2011	2
3	18	1.3337343424626727e-23	5	lg2	GRMZM2G060216	Maize	149	Chang et al.,2016	4
3	18	1.3337343424626727e-23	5	lg2	GRMZM2G060216	Maize	491	This_Study	6
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	18	Yu et al.,2006	3
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	19	Yu et al.,2006	3
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	58	Tian et al.,2011	2
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	144	Li et al.,2015	4
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	217	Ku et al.,2016	3
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	383	Wang et al.,2017	4
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	426	Zhang et al.,2017	5
10	15	3.085988383704825e-23	6	OsLG1	GRMZM2G058588	Rice	450	Zhang et al.,2017	1
4	13	1.3e-22	7	NA	NA	NA	41	Tian et al.,2011	2
1	2	1.0224012710224485e-21	8	OsMDP1	GRMZM2G059102 	Rice	11	Yu et al.,2006	3
1	2	1.0224012710224485e-21	8	OsMDP1	GRMZM2G059102 	Rice	20	Lu et al.,2007	3
1	2	1.0224012710224485e-21	8	OsMDP1	GRMZM2G059102 	Rice	100	Ding et al.,2015	3
1	2	1.0224012710224485e-21	8	OsMDP1	GRMZM2G059102 	Rice	128	Li et al.,2015	4
1	2	1.0224012710224485e-21	8	OsMDP1	GRMZM2G059102 	Rice	197	Ku et al.,2016	3
1	2	1.0224012710224485e-21	8	OsMDP1	GRMZM2G059102 	Rice	384	Zhang et al.,2017	3
7	13	1.090071682046675e-21	9	NA	NA	NA	87	Potts,2014	3
7	13	1.090071682046675e-21	9	NA	NA	NA	138	Li et al.,2015	4
7	13	1.090071682046675e-21	9	NA	NA	NA	303	Pan et al.,2017	4
7	13	1.090071682046675e-21	9	NA	NA	NA	304	Pan et al.,2017	4
7	13	1.090071682046675e-21	9	NA	NA	NA	380	Wang et al.,2017	4
7	13	1.090071682046675e-21	9	NA	NA	NA	381	Wang et al.,2017	4
7	13	1.090071682046675e-21	9	NA	NA	NA	382	Wang et al.,2017	4
7	13	1.090071682046675e-21	9	NA	NA	NA	416	Zhang et al.,2017	5
7	13	1.090071682046675e-21	9	NA	NA	NA	417	Zhang et al.,2017	5
7	13	1.090071682046675e-21	9	NA	NA	NA	418	Zhang et al.,2017	5
7	13	1.090071682046675e-21	9	NA	NA	NA	419	Zhang et al.,2017	5
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	112	Ding et al.,2015	3
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	140	Li et al.,2015	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	194	Chang et al.,2016	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	343	Pan et al.,2017	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	344	Pan et al.,2017	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	345	Pan et al.,2017	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	346	Pan et al.,2017	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	347	Pan et al.,2017	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	348	Pan et al.,2017	4
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	423	Zhang et al.,2017	5
8	17	1.5684520240694963e-21	10	lrs1	AC232238.2_FG004	Maize	447	Zhang et al.,2017	1
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	56	Tian et al.,2011	2
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	56	Tian et al.,2011	2
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	143	Li et al.,2015	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	143	Li et al.,2015	4
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	160	Chang et al.,2016	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	160	Chang et al.,2016	4
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	354	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	354	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	355	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	355	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	356	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	356	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	357	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	357	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	LPA1	GRMZM2G074032	Rice	358	Pan et al.,2017	4
9	15	4.474848676384984e-21	11	drl2	GRMZM2G102218	Maize	358	Pan et al.,2017	4
5	18	4.9523369694415555e-21	12	NA	NA	NA	71	Liu et al.,2014	3
5	18	4.9523369694415555e-21	12	NA	NA	NA	85	Potts,2014	3
5	18	4.9523369694415555e-21	12	NA	NA	NA	97	Chen et al.,2015	3
5	18	4.9523369694415555e-21	12	NA	NA	NA	376	Wang et al.,2017	4
5	18	4.9523369694415555e-21	12	NA	NA	NA	377	Wang et al.,2017	4
5	18	4.9523369694415555e-21	12	NA	NA	NA	412	Zhang et al.,2017	5
5	18	4.9523369694415555e-21	12	NA	NA	NA	442	Zhang et al.,2017	1
5	18	4.9523369694415555e-21	12	NA	NA	NA	467	Zhao et al.,2018	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	90	Chen et al.,2015	3
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	90	Chen et al.,2015	3
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	90	Chen et al.,2015	3
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	95	Chen et al.,2015	3
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	95	Chen et al.,2015	3
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	95	Chen et al.,2015	3
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	116	Hou et al.,2015	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	116	Hou et al.,2015	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	116	Hou et al.,2015	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	181	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	181	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	181	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	182	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	182	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	182	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	183	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	183	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	183	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	184	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	184	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	184	Chang et al.,2016	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	198	Ku et al.,2016	3
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	198	Ku et al.,2016	3
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	198	Ku et al.,2016	3
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	222	Pan et al.,2017	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	222	Pan et al.,2017	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	222	Pan et al.,2017	4
1	4	1.39708683990669e-19	13	ZmDWF4/brs1	GRMZM2G065635	Maize	223	Pan et al.,2017	4
1	4	1.39708683990669e-19	13	LPA1	GRMZM2G465595	Rice	223	Pan et al.,2017	4
1	4	1.39708683990669e-19	13	pmk1	GRMZM2G019260	Maize	223	Pan et al.,2017	4
3	3	8.579155316643431e-19	14	NA	NA	NA	14	Yu et al.,2006	3
3	3	8.579155316643431e-19	14	NA	NA	NA	37	Tian et al.,2011	2
3	3	8.579155316643431e-19	14	NA	NA	NA	79	Potts,2014	3
3	3	8.579155316643431e-19	14	NA	NA	NA	489	This_Study	6
10	2	8.25576008899576e-18	15	NA	NA	NA	98	Chen et al.,2015	3
10	2	8.25576008899576e-18	15	NA	NA	NA	360	Pan et al.,2017	4
10	2	8.25576008899576e-18	15	NA	NA	NA	402	Zhang et al.,2017	3
10	9	2.309462427218588e-17	16	NA	NA	NA	57	Tian et al.,2011	2
10	9	2.309462427218588e-17	16	NA	NA	NA	99	Chen et al.,2015	3
10	9	2.309462427218588e-17	16	NA	NA	NA	361	Pan et al.,2017	4
10	9	2.309462427218588e-17	16	NA	NA	NA	362	Pan et al.,2017	4
10	9	2.309462427218588e-17	16	NA	NA	NA	363	Pan et al.,2017	4
5	20	1.1380382415759548e-16	17	NA	NA	NA	7	Mickelson et al.,2002	3
5	20	1.1380382415759548e-16	17	NA	NA	NA	47	Tian et al.,2011	2
5	20	1.1380382415759548e-16	17	NA	NA	NA	290	Pan et al.,2017	4
5	20	1.1380382415759548e-16	17	NA	NA	NA	291	Pan et al.,2017	4
5	20	1.1380382415759548e-16	17	NA	NA	NA	414	Zhang et al.,2017	5
7	1	1.153092907874758e-16	18	NA	NA	NA	9	Mickelson et al.,2002	3
7	1	1.153092907874758e-16	18	NA	NA	NA	170	Chang et al.,2016	4
7	1	1.153092907874758e-16	18	NA	NA	NA	472	Zhao et al.,2018	4
7	1	1.153092907874758e-16	18	NA	NA	NA	473	Zhao et al.,2018	4
7	1	1.153092907874758e-16	18	NA	NA	NA	474	Zhao et al.,2018	4
7	1	1.153092907874758e-16	18	NA	NA	NA	475	Zhao et al.,2018	4
7	1	1.153092907874758e-16	18	NA	NA	NA	476	Zhao et al.,2018	4
7	1	1.153092907874758e-16	18	NA	NA	NA	477	Zhao et al.,2018	4
7	1	1.153092907874758e-16	18	NA	NA	NA	478	Zhao et al.,2018	4
5	19	4.048507536914759e-16	19	yabby15	GRMZM2G529859	Maize	25	Lu et al.,2007	3
5	19	4.048507536914759e-16	19	yabby15	GRMZM2G529859	Maize	378	Wang et al.,2017	4
5	19	4.048507536914759e-16	19	yabby15	GRMZM2G529859	Maize	393	Zhang et al.,2017	3
5	19	4.048507536914759e-16	19	yabby15	GRMZM2G529859	Maize	413	Zhang et al.,2017	5
5	19	4.048507536914759e-16	19	yabby15	GRMZM2G529859	Maize	468	Zhao et al.,2018	4
5	19	4.048507536914759e-16	19	yabby15	GRMZM2G529859	Maize	469	Zhao et al.,2018	4
5	22	8.765827846968692e-16	20	NA	NA	NA	125	Hou et al.,2015	4
5	22	8.765827846968692e-16	20	NA	NA	NA	190	Chang et al.,2016	4
5	22	8.765827846968692e-16	20	NA	NA	NA	191	Chang et al.,2016	4
5	22	8.765827846968692e-16	20	NA	NA	NA	192	Chang et al.,2016	4
5	22	8.765827846968692e-16	20	NA	NA	NA	293	Pan et al.,2017	4
5	22	8.765827846968692e-16	20	NA	NA	NA	415	Zhang et al.,2017	5
5	22	8.765827846968692e-16	20	NA	NA	NA	443	Zhang et al.,2017	1
1	7	1.8875229640838337e-15	21	NA	NA	NA	59	Ku et al.,2012	4
1	7	1.8875229640838337e-15	21	NA	NA	NA	129	Li et al.,2015	4
1	7	1.8875229640838337e-15	21	NA	NA	NA	403	Zhang et al.,2017	5
1	7	1.8875229640838337e-15	21	NA	NA	NA	404	Zhang et al.,2017	5
1	7	1.8875229640838337e-15	21	NA	NA	NA	405	Zhang et al.,2017	5
1	7	1.8875229640838337e-15	21	NA	NA	NA	428	Zhang et al.,2017	1
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	54	Tian et al.,2011	2
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	334	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	335	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	336	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	337	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	338	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	339	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	340	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	341	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	342	Pan et al.,2017	4
8	16	2.3440818135604662e-015	22	OsBRI1	GRMZM2G048294	Rice	446	Zhang et al.,2017	1
9	11	2.4014472593927732e-15	23	NA	NA	NA	55	Tian et al.,2011	2
9	11	2.4014472593927732e-15	23	NA	NA	NA	215	Ku et al.,2016	3
9	11	2.4014472593927732e-15	23	NA	NA	NA	352	Pan et al.,2017	4
7	17	5.144829416649235e-15	24	OsBZR1	GRMZM2G102514	Rice	50	Tian et al.,2011	2
7	17	5.144829416649235e-15	24	OsBZR1	GRMZM2G102514	Rice	110	Ding et al.,2015	3
7	17	5.144829416649235e-15	24	OsBZR1	GRMZM2G102514	Rice	213	Ku et al.,2016	3
7	17	5.144829416649235e-15	24	OsBZR1	GRMZM2G102514	Rice	321	Pan et al.,2017	4
7	17	5.144829416649235e-15	24	OsBZR1	GRMZM2G102514	Rice	322	Pan et al.,2017	4
3	1	6.430277652257179e-15	25	D2/ CYP90D2	GRMZM2G143235	Rice	76	Liu et al.,2014	3
3	1	6.430277652257179e-15	25	D2/ CYP90D2	GRMZM2G143235	Rice	92	Chen et al.,2015	3
3	1	6.430277652257179e-15	25	D2/ CYP90D2	GRMZM2G143235	Rice	120	Hou et al.,2015	4
3	1	6.430277652257179e-15	25	D2/ CYP90D2	GRMZM2G143235	Rice	121	Hou et al.,2015	4
3	1	6.430277652257179e-15	25	D2/ CYP90D2	GRMZM2G143235	Rice	134	Li et al.,2015	4
3	9	9.754486175944559e-15	26	NA	NA	NA	23	Lu et al.,2007	3
3	9	9.754486175944559e-15	26	NA	NA	NA	61	Ku et al.,2012	4
3	9	9.754486175944559e-15	26	NA	NA	NA	187	Chang et al.,2016	4
3	9	9.754486175944559e-15	26	NA	NA	NA	204	Ku et al.,2016	3
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	4	Mickelson et al.,2002	3
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	167	Chang et al.,2016	4
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	208	Ku et al.,2016	3
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	275	Pan et al.,2017	4
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	276	Pan et al.,2017	4
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	277	Pan et al.,2017	4
4	19	1.0003421925445544e-14	27	Rav6	GRMZM2G042101	Rice	439	Zhang et al.,2017	1
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	32	Tian et al.,2011	2
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	406	Zhang et al.,2017	5
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	455	Zhao et al.,2018	4
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	456	Zhao et al.,2018	4
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	457	Zhao et al.,2018	4
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	458	Zhao et al.,2018	4
1	26	1.138172876634535e-14	28	bhlh43	GRMZM2G165042	Maize	459	Zhao et al.,2018	4
4	16	1.5140438567413834e-14	29	NA	NA	NA	106	Ding et al.,2015	3
8	10	1.8379577949496374e-14	30	NA	NA	NA	52	Tian et al.,2011	2
8	10	1.8379577949496374e-14	30	NA	NA	NA	399	Zhang et al.,2017	3
8	10	1.8379577949496374e-14	30	NA	NA	NA	483	Zhao et al.,2018	4
5	4	1.900848577922523e-14	31	NA	NA	NA	45	Tian et al.,2011	2
5	4	1.900848577922523e-14	31	NA	NA	NA	375	Wang et al.,2017	4
5	4	1.900848577922523e-14	31	NA	NA	NA	441	Zhang et al.,2017	1
1	24	3.343241643677362e-14	32	NA	NA	NA	31	Tian et al.,2011	2
1	24	3.343241643677362e-14	32	NA	NA	NA	102	Ding et al.,2015	3
1	24	3.343241643677362e-14	32	NA	NA	NA	429	Zhang et al.,2017	1
7	4	2.7717113605547963e-13	33	NA	NA	NA	10	Mickelson et al.,2002	3
1	20	2.873242549667046e-13	34	NA	NA	NA	130	Li et al.,2015	4
1	20	2.873242549667046e-13	34	NA	NA	NA	238	Pan et al.,2017	4
1	20	2.873242549667046e-13	34	NA	NA	NA	239	Pan et al.,2017	4
1	20	2.873242549667046e-13	34	NA	NA	NA	240	Pan et al.,2017	4
1	20	2.873242549667046e-13	34	NA	NA	NA	385	Zhang et al.,2017	3
6	10	3.338818252666006e-13	35	NA	NA	NA	48	Tian et al.,2011	2
6	10	3.338818252666006e-13	35	NA	NA	NA	136	Li et al.,2015	4
5	1	3.5606311964741436e-13	36	bhlh60	GRMZM2G016756	Maize	44	Tian et al.,2011	2
5	1	3.5606311964741436e-13	36	phyC2	GRMZM2G129889	Maize	44	Tian et al.,2011	2
5	1	3.5606311964741436e-13	36	bhlh60	GRMZM2G016756	Maize	283	Pan et al.,2017	4
5	1	3.5606311964741436e-13	36	phyC2	GRMZM2G129889	Maize	283	Pan et al.,2017	4
5	1	3.5606311964741436e-13	36	bhlh60	GRMZM2G016756	Maize	284	Pan et al.,2017	4
5	1	3.5606311964741436e-13	36	phyC2	GRMZM2G129889	Maize	284	Pan et al.,2017	4
5	1	3.5606311964741436e-13	36	bhlh60	GRMZM2G016756	Maize	411	Zhang et al.,2017	5
5	1	3.5606311964741436e-13	36	phyC2	GRMZM2G129889	Maize	411	Zhang et al.,2017	5
7	16	4.05334150978855e-13	37	NA	NA	NA	88	Potts,2014	3
7	16	4.05334150978855e-13	37	NA	NA	NA	139	Li et al.,2015	4
7	16	4.05334150978855e-13	37	NA	NA	NA	318	Pan et al.,2017	4
7	16	4.05334150978855e-13	37	NA	NA	NA	319	Pan et al.,2017	4
7	16	4.05334150978855e-13	37	NA	NA	NA	320	Pan et al.,2017	4
