QTLID	SourceID	Canopy_Level	Method	sample_size	Chr	Start	End	LOD	LRT	p_value
28	"Ku et al.,2010"	4	QTL_Mapping	229	5	135859010	147661531	4.7		
29	"Tian et al.,2011"	2	QTL_Mapping	4892	1	28422259	28422259			4.10E-29
30	"Tian et al.,2011"	2	QTL_Mapping	4892	1	175670147	175670147			9.00E-11
31	"Tian et al.,2011"	2	QTL_Mapping	4892	1	231764987	231764987			7.40E-10
32	"Tian et al.,2011"	2	QTL_Mapping	4892	1	253089640	253089640			1.30E-08
33	"Tian et al.,2011"	2	QTL_Mapping	4892	1	282864077	282864077			2.10E-10
34	"Tian et al.,2011"	2	QTL_Mapping	4892	2	4195557	4195557			3.30E-57
35	"Tian et al.,2011"	2	QTL_Mapping	4892	2	13858734	13858734			5.10E-21
36	"Tian et al.,2011"	2	QTL_Mapping	4892	2	185341699	185341699			3.10E-06
37	"Tian et al.,2011"	2	QTL_Mapping	4892	3	24354972	24354972			4.20E-22
38	"Tian et al.,2011"	2	QTL_Mapping	4892	3	158556357	158556357			3.10E-15
39	"Tian et al.,2011"	2	QTL_Mapping	4892	3	176339982	176339982			8.00E-70
40	"Tian et al.,2011"	2	QTL_Mapping	4892	3	225394042	225394042			9.40E-08
41	"Tian et al.,2011"	2	QTL_Mapping	4892	4	124005358	124005358			1.30E-22
42	"Tian et al.,2011"	2	QTL_Mapping	4892	4	178920884	178920884			4.10E-10
43	"Tian et al.,2011"	2	QTL_Mapping	4892	4	239643577	239643577			8.80E-08
44	"Tian et al.,2011"	2	QTL_Mapping	4892	5	4201827	4201827			5.90E-11
45	"Tian et al.,2011"	2	QTL_Mapping	4892	5	35298689	35298689			8.60E-15
46	"Tian et al.,2011"	2	QTL_Mapping	4892	5	69148160	69148160			5.70E-11
47	"Tian et al.,2011"	2	QTL_Mapping	4892	5	199430431	199430431			3.50E-19
48	"Tian et al.,2011"	2	QTL_Mapping	4892	6	93158126	93158126			5.50E-21
49	"Tian et al.,2011"	2	QTL_Mapping	4892	7	136296424	136296424			5.30E-16
50	"Tian et al.,2011"	2	QTL_Mapping	4892	7	168700086	168700086			1.20E-13
51	"Tian et al.,2011"	2	QTL_Mapping	4892	7	174830706	174830706			5.10E-06
52	"Tian et al.,2011"	2	QTL_Mapping	4892	8	91502989	91502989			1.10E-13
53	"Tian et al.,2011"	2	QTL_Mapping	4892	8	124537397	129941036			2.10E-08
54	"Tian et al.,2011"	2	QTL_Mapping	4892	8	156915492	156915492			5.80E-09
55	"Tian et al.,2011"	2	QTL_Mapping	4892	9	107644532	107644532			6.30E-20
56	"Tian et al.,2011"	2	QTL_Mapping	4892	9	147173273	147173273			9.20E-27
57	"Tian et al.,2011"	2	QTL_Mapping	4892	10	87098338	87098338			2.00E-12
58	"Tian et al.,2011"	2	QTL_Mapping	4892	10	143896778	143896778			1.80E-14
59	"Ku et al.,2012"	4	QTL_Mapping	256	1	51270418	82587237	12.06		
60	"Ku et al.,2012"	4	QTL_Mapping	256	2	15027535	29399406	8.73		
61	"Ku et al.,2012"	4	QTL_Mapping	256	3	43110699	126275300	4.76		
62	"Ku et al.,2012"	4	QTL_Mapping	256	7	43876236	128210329	3.76		
63	"Ku et al.,2012"	4	QTL_Mapping	256	8	21158286	108216915	2.57		
64	"Wassom,2013"	4	QTL_Mapping	93	1	165422389	173249053	4.27		
65	"Wassom,2013"	4	QTL_Mapping	93	5	168686976	171021198	4.8		
66	"Wassom,2013"	4	QTL_Mapping	93	9	3921427	8267332	4.76		
67	"Liu et al.,2014"	3	QTL_Mapping	144	1	27031287	27399426	11.45		
68	"Liu et al.,2014"	3	QTL_Mapping	144	1	27031287	27399426	8.21		
69	"Liu et al.,2014"	3	QTL_Mapping	144	1	27399426	27031287	8.86		
70	"Liu et al.,2014"	3	QTL_Mapping	144	2	4670771	4706476	4.98		
71	"Liu et al.,2014"	3	QTL_Mapping	144	5	172147087	180235920	3.8		
72	"Liu et al.,2014"	3	QTL_Mapping	144	1	27031287	27399426	11.87		
73	"Liu et al.,2014"	3	QTL_Mapping	144	1	27031287	27399426	7.63		
74	"Liu et al.,2014"	3	QTL_Mapping	144	1	27399426	27031287	7.19		
75	"Liu et al.,2014"	3	QTL_Mapping	144	2	4670771	4706476	3.9		
76	"Liu et al.,2014"	3	QTL_Mapping	144	3	5234938	8775798	3.87		
77	"Potts,2014"	3	QTL_Mapping	320	1	3071510	3879863	3.28		
78	"Potts,2014"	3	QTL_Mapping	320	1	17678803	23248717	2.48		
79	"Potts,2014"	3	QTL_Mapping	320	3	10068218	30451930	2.78		
80	"Potts,2014"	3	QTL_Mapping	320	4	10039544	22130374	3.82		
81	"Potts,2014"	3	QTL_Mapping	320	4	198296536	207044673	2.72		
82	"Potts,2014"	3	QTL_Mapping	320	5	14605940	15349044	3.65		
83	"Potts,2014"	3	QTL_Mapping	320	5	65252308	80430321	3.45		
84	"Potts,2014"	3	QTL_Mapping	320	5	80843693	92279198	3.61		
85	"Potts,2014"	3	QTL_Mapping	320	5	168912182	188806080	4.04		
86	"Potts,2014"	3	QTL_Mapping	320	5	198263118	206525437	5.26		
87	"Potts,2014"	3	QTL_Mapping	320	7	125541578	130736597	3.18		
88	"Potts,2014"	3	QTL_Mapping	320	7	152056249	156777184	2.88		
89	"Chen et al.,2015"	3	QTL_Mapping	144	1	27031287	27399426	14.84		
90	"Chen et al.,2015"	3	QTL_Mapping	144	1	27399426	32876200	4.7		
91	"Chen et al.,2015"	3	QTL_Mapping	144	2	4670771	4706476	3.9		
92	"Chen et al.,2015"	3	QTL_Mapping	144	3	5234938	8775798	5.57		
93	"Chen et al.,2015"	3	QTL_Mapping	144	5	80784987	84288929	3.72		
94	"Chen et al.,2015"	3	QTL_Mapping	144	1	27031287	27399426	13.18		
95	"Chen et al.,2015"	3	QTL_Mapping	144	1	32878324	33165747	8.98		
96	"Chen et al.,2015"	3	QTL_Mapping	144	2	4670771	4706476	3.9		
97	"Chen et al.,2015"	3	QTL_Mapping	144	5	172147087	180235920	4.92		
98	"Chen et al.,2015"	3	QTL_Mapping	144	10	13351444	24629497	26.52		
99	"Chen et al.,2015"	3	QTL_Mapping	144	10	82094750	83685859	18.51		
100	"Ding et al.,2015"	3	QTL_Mapping	305	1	7850302	16242223	4.67		
101	"Ding et al.,2015"	3	QTL_Mapping	305	1	83535266	154972600	7.76		
102	"Ding et al.,2015"	3	QTL_Mapping	305	1	229874104	239673067	9.77		
103	"Ding et al.,2015"	3	QTL_Mapping	305	2	2089041	4056687	7.87		
104	"Ding et al.,2015"	3	QTL_Mapping	305	2	4056687	4737997	13.72		
105	"Ding et al.,2015"	3	QTL_Mapping	305	2	41522748	50549941	9.26		
106	"Ding et al.,2015"	3	QTL_Mapping	305	4	145727587	166945674	12.54		
107	"Ding et al.,2015"	3	QTL_Mapping	305	4	173945116	177588057	5.14		
108	"Ding et al.,2015"	3	QTL_Mapping	305	5	135859010	173960605	10.64		
109	"Ding et al.,2015"	3	QTL_Mapping	305	7	129863292	138799755	10.81		
110	"Ding et al.,2015"	3	QTL_Mapping	305	7	161990137	165307798	4.79		
111	"Ding et al.,2015"	3	QTL_Mapping	305	8	70795031	100860341	6.04		
112	"Ding et al.,2015"	3	QTL_Mapping	305	8	159898721	164915038	12.21		
113	"Ding et al.,2015"	3	QTL_Mapping	305	9	11736162	13365954	6.4		
114	"Hou et al.,2015"	4	Joint_Linkage	266	1	3039078	3078140	3.2		
115	"Hou et al.,2015"	4	Joint_Linkage	266	1	27502892	29742488	3.2		
116	"Hou et al.,2015"	4	Joint_Linkage	266	1	29784435	31976599	3.2		
117	"Hou et al.,2015"	4	Joint_Linkage	266	1	220006906	222592017	3.2		
118	"Hou et al.,2015"	4	Joint_Linkage	266	2	2785992	4692176	3.2		
119	"Hou et al.,2015"	4	Joint_Linkage	266	2	7623080	9445001	3.2		
120	"Hou et al.,2015"	4	Joint_Linkage	266	3	4712826	5439550	3.2		
121	"Hou et al.,2015"	4	Joint_Linkage	266	3	4712826	5439550	3.2		
122	"Hou et al.,2015"	4	Joint_Linkage	266	3	160666381	160901885	3.2		
123	"Hou et al.,2015"	4	Joint_Linkage	266	4	234427137	240116608	3.2		
124	"Hou et al.,2015"	4	Joint_Linkage	266	5	202095812	204384160	3.2		
125	"Hou et al.,2015"	4	Joint_Linkage	266	5	212755839	217612664	3.2		
126	"Hou et al.,2015"	4	Joint_Linkage	266	9	30646914	64028872	3.2		
127	"Hou et al.,2015"	4	Joint_Linkage	266	9	114964362	122305846	3.2		
128	"Li et al.,2015"	4	QTL_Mapping	538	1	10840898	13679345	8		
129	"Li et al.,2015"	4	QTL_Mapping	538	1	58513272	63207144	7		
130	"Li et al.,2015"	4	QTL_Mapping	538	1	188143162	192349790	10		
131	"Li et al.,2015"	4	QTL_Mapping	538	1	291976604	292952418	8		
132	"Li et al.,2015"	4	QTL_Mapping	538	2	3100473	4308553	7		
133	"Li et al.,2015"	4	QTL_Mapping	538	2	10614341	12805978	10		
134	"Li et al.,2015"	4	QTL_Mapping	538	3	4147003	4752993	8		
135	"Li et al.,2015"	4	QTL_Mapping	538	5	82270542	90464010	4		
136	"Li et al.,2015"	4	QTL_Mapping	538	6	92149762	97077088	4		
137	"Li et al.,2015"	4	QTL_Mapping	538	6	130148319	132979794	8		
138	"Li et al.,2015"	4	QTL_Mapping	538	7	126258027	129264884	10		
139	"Li et al.,2015"	4	QTL_Mapping	538	7	153856361	155291619	10		
140	"Li et al.,2015"	4	QTL_Mapping	538	8	163585298	164457016	12		
141	"Li et al.,2015"	4	QTL_Mapping	538	9	48455635	78920645	6		
142	"Li et al.,2015"	4	QTL_Mapping	538	9	103447833	32305369	8		
143	"Li et al.,2015"	4	QTL_Mapping	538	9	142464481	144869430	8		
144	"Li et al.,2015"	4	QTL_Mapping	538	10	141074427	141790473	12		
145	"Chang et al.,2016"	4	QTL_Mapping	150	1	6148853	7850302	5.62		
146	"Chang et al.,2016"	4	QTL_Mapping	150	1	6148853	7850302	4.84		
147	"Chang et al.,2016"	4	QTL_Mapping	150	2	154144472	186019883	4.97		
148	"Chang et al.,2016"	4	QTL_Mapping	150	3	140034388	170294333	3.09		
149	"Chang et al.,2016"	4	QTL_Mapping	150	3	170294333	187492990	4.52		
150	"Chang et al.,2016"	4	QTL_Mapping	150	3	198459048	213628470	7.85		
151	"Chang et al.,2016"	4	QTL_Mapping	150	3	198459048	213628470	3.72		
152	"Chang et al.,2016"	4	QTL_Mapping	150	6	104436195	118138313	3.52		
153	"Chang et al.,2016"	4	QTL_Mapping	150	6	104436195	118138313	5.38		
154	"Chang et al.,2016"	4	QTL_Mapping	150	6	151971700	155792487	4.35		
155	"Chang et al.,2016"	4	QTL_Mapping	150	7	42495568	162106183	3.91		
156	"Chang et al.,2016"	4	QTL_Mapping	150	7	121257089	147125633	5.64		
157	"Chang et al.,2016"	4	QTL_Mapping	150	7	173474267	174839625	5.2		
158	"Chang et al.,2016"	4	QTL_Mapping	150	8	4432880	10837438	6.93		
159	"Chang et al.,2016"	4	QTL_Mapping	150	8	4432880	10837438	4.01		
160	"Chang et al.,2016"	4	QTL_Mapping	150	9	136954385	146463509	4.08		
161	"Chang et al.,2016"	4	QTL_Mapping	150	10	114308530	127281245	5.85		
162	"Chang et al.,2016"	4	QTL_Mapping	150	1	182873055	194696454	3.73		
163	"Chang et al.,2016"	4	QTL_Mapping	150	1	197104210	208483075	10.02		
164	"Chang et al.,2016"	4	QTL_Mapping	150	1	197104210	208483075	9.63		
165	"Chang et al.,2016"	4	QTL_Mapping	150	1	197104210	208483075	8.76		
166	"Chang et al.,2016"	4	QTL_Mapping	150	1	197104210	208483075	8.82		
167	"Chang et al.,2016"	4	QTL_Mapping	150	4	184812978	187530920	4.09		
168	"Chang et al.,2016"	4	QTL_Mapping	150	6	104436195	118138313	3.05		
169	"Chang et al.,2016"	4	QTL_Mapping	150	6	104436195	118138313	3.99		
170	"Chang et al.,2016"	4	QTL_Mapping	150	7	4904170	11447671	4.93		
171	"Chang et al.,2016"	4	QTL_Mapping	150	7	82672544	107484417	5.65		
172	"Chang et al.,2016"	4	QTL_Mapping	150	7	121257089	147125633	4.78		
173	"Chang et al.,2016"	4	QTL_Mapping	150	8	28387921	4433078	4.28		
174	"Chang et al.,2016"	4	QTL_Mapping	150	8	28387921	4433078	7.42		
175	"Chang et al.,2016"	4	QTL_Mapping	150	8	42495568	122005904	3.26		
176	"Chang et al.,2016"	4	QTL_Mapping	150	8	42495568	122005904	6.04		
177	"Chang et al.,2016"	4	QTL_Mapping	150	8	172671226	175252708	4.27		
178	"Chang et al.,2016"	4	QTL_Mapping	150	8	172671226	175252708	4.1		
179	"Chang et al.,2016"	4	QTL_Mapping	150	9	1609849	11506749	4.65		
180	"Chang et al.,2016"	4	QTL_Mapping	150	9	1609849	11506749	7.49		
181	"Chang et al.,2016"	4	QTL_Mapping	150	1	34904895	34962573	5.45		
182	"Chang et al.,2016"	4	QTL_Mapping	150	1	34904895	34962573	6.84		
183	"Chang et al.,2016"	4	QTL_Mapping	150	1	34904895	34962573	7.28		
184	"Chang et al.,2016"	4	QTL_Mapping	150	1	34904895	34962573	9.49		
185	"Chang et al.,2016"	4	QTL_Mapping	150	2	233187227	236197994	3.35		
186	"Chang et al.,2016"	4	QTL_Mapping	150	2	233187227	236197994	3.28		
187	"Chang et al.,2016"	4	QTL_Mapping	150	3	58485294	119666760	6.96		
188	"Chang et al.,2016"	4	QTL_Mapping	150	4	3112925	3267368	6.69		
189	"Chang et al.,2016"	4	QTL_Mapping	150	4	135339754	155558554	6.1		
190	"Chang et al.,2016"	4	QTL_Mapping	150	5	210069667	211774543	3.78		
191	"Chang et al.,2016"	4	QTL_Mapping	150	5	210069667	211774543	12.66		
192	"Chang et al.,2016"	4	QTL_Mapping	150	5	210069667	211774543	5.14		
193	"Chang et al.,2016"	4	QTL_Mapping	150	8	4433078	10837438	5.95		
194	"Chang et al.,2016"	4	QTL_Mapping	150	8	168483481	171170416	4.66		
195	"Chang et al.,2016"	4	QTL_Mapping	150	9	1609849	11506749	6.71		
196	"Chang et al.,2016"	4	QTL_Mapping	150	9	11779648	25727446	3.89		
197	"Ku et al.,2016"	3	QTL_Mapping	215	1	19653937	20021330	10.62		
198	"Ku et al.,2016"	3	QTL_Mapping	208	1	35972586	40592153	4.18		
199	"Ku et al.,2016"	3	QTL_Mapping	212	1	44142044	45267690	4.82		
200	"Ku et al.,2016"	3	QTL_Mapping	208	1	110120604	113684209	2.94		
201	"Ku et al.,2016"	3	QTL_Mapping	223	1	173918585	175948571	6.13		
202	"Ku et al.,2016"	3	QTL_Mapping	223	2	18528060	22582637	3.97		
203	"Ku et al.,2016"	3	QTL_Mapping	212	2	146496238	149439275	2.9		
204	"Ku et al.,2016"	3	QTL_Mapping	215	3	85203524	87514042	4.09		
205	"Ku et al.,2016"	3	QTL_Mapping	208	3	135761595	144754274	2.58		
206	"Ku et al.,2016"	3	QTL_Mapping	215	3	179359857	183308471	4.8		
207	"Ku et al.,2016"	3	QTL_Mapping	223	4	174869059	175617518	3.45		
208	"Ku et al.,2016"	3	QTL_Mapping	212	4	182233034	184677870	5.24		
209	"Ku et al.,2016"	3	QTL_Mapping	212	4	200408479	203577087	4.77		
210	"Ku et al.,2016"	3	QTL_Mapping	223	5	204572347	206728313	3.13		
211	"Ku et al.,2016"	3	QTL_Mapping	215	6	159827433	164271408	4.57		
212	"Ku et al.,2016"	3	QTL_Mapping	212	7	127334748	146835621	6.44		
213	"Ku et al.,2016"	3	QTL_Mapping	215	7	167295658	170169146	3.76		
214	"Ku et al.,2016"	3	QTL_Mapping	215	8	128169020	130267552	3.14		
215	"Ku et al.,2016"	3	QTL_Mapping	223	9	99510056	111434991	3.9		
216	"Ku et al.,2016"	3	QTL_Mapping	215	10	31928550	42184648	9.89		
217	"Ku et al.,2016"	3	QTL_Mapping	223	10	147926131	148637945	2.57		
218	"Pan et al.,2017"	4	QTL_Mapping	188	1	22506517	22773566	7.1		
219	"Pan et al.,2017"	4	QTL_Mapping	188	1	24509648	24584788	4.1		
220	"Pan et al.,2017"	4	Joint_Linkage	1887	1	27634931	27705954		29.13	
221	"Pan et al.,2017"	4	QTL_Mapping	188	1	29542648	29551344	11.4		
222	"Pan et al.,2017"	4	QTL_Mapping	188	1	33122926	33122926	3.7		
223	"Pan et al.,2017"	4	QTL_Mapping	188	1	35573276	35747543	4.9		
224	"Pan et al.,2017"	4	QTL_Mapping	188	1	43978651	45105923	5.4		
225	"Pan et al.,2017"	4	Joint_Linkage	1887	1	47239702	47307215		3.57	
226	"Pan et al.,2017"	4	Joint_Linkage	1887	1	48538829	48599943		3.19	
227	"Pan et al.,2017"	4	Joint_Linkage	1887	1	50059878	50176238		4.31	
228	"Pan et al.,2017"	4	Joint_Linkage	1887	1	51163192	51304680		3.18	
229	"Pan et al.,2017"	4	QTL_Mapping	188	1	52537654	52537654	7.6		
230	"Pan et al.,2017"	4	QTL_Mapping	188	1	80631671	80928129	9.1		
231	"Pan et al.,2017"	4	Joint_Linkage	1887	1	84877411	84981293		6.26	
232	"Pan et al.,2017"	4	Joint_Linkage	1887	1	88006144	88012899		3.72	
233	"Pan et al.,2017"	4	Joint_Linkage	1887	1	89702495	90099206		6.6	
234	"Pan et al.,2017"	4	Joint_Linkage	1887	1	91228557	91364745		5.66	
235	"Pan et al.,2017"	4	QTL_Mapping	188	1	91257996	92819138	5.2		
236	"Pan et al.,2017"	4	Joint_Linkage	1887	1	93503775	93639922		3.29	
237	"Pan et al.,2017"	4	QTL_Mapping	188	1	162755218	163451148	4.4		
238	"Pan et al.,2017"	4	QTL_Mapping	188	1	194707416	194707416	4		
239	"Pan et al.,2017"	4	Joint_Linkage	1887	1	196650880	196702831		8.07	
240	"Pan et al.,2017"	4	QTL_Mapping	188	1	199310851	199524960	4		
241	"Pan et al.,2017"	4	QTL_Mapping	188	1	200196311	200516955	3.4		
242	"Pan et al.,2017"	4	QTL_Mapping	188	1	216216335	216526129	5.9		
243	"Pan et al.,2017"	4	Joint_Linkage	1887	1	279636145	279669996		4.07	
244	"Pan et al.,2017"	4	Joint_Linkage	1887	1	281997461	282305297		4.25	
245	"Pan et al.,2017"	4	Joint_Linkage	1887	1	283354124	283443692		3.28	
246	"Pan et al.,2017"	4	Joint_Linkage	1887	1	283772024	283882271		2.79	
247	"Pan et al.,2017"	4	Joint_Linkage	1887	2	2400136	2453541		5.39	
248	"Pan et al.,2017"	4	QTL_Mapping	188	2	4327498	4377056	9.8		
249	"Pan et al.,2017"	4	Joint_Linkage	1887	2	4494692	4548461		46.35	
250	"Pan et al.,2017"	4	QTL_Mapping	188	2	6200423	6202137	7		
251	"Pan et al.,2017"	4	Joint_Linkage	1887	2	9096813	9109407		4.67	
252	"Pan et al.,2017"	4	Joint_Linkage	1887	2	9202099	9268552		4.05	
253	"Pan et al.,2017"	4	Joint_Linkage	1887	2	9531831	9717146		2.95	
254	"Pan et al.,2017"	4	Joint_Linkage	1887	2	14381688	14429234		4.91	
255	"Pan et al.,2017"	4	QTL_Mapping	188	2	15253987	15284486	5.1		
256	"Pan et al.,2017"	4	Joint_Linkage	1887	2	15423748	15536477		6.03	
257	"Pan et al.,2017"	4	Joint_Linkage	1887	2	16020717	16040402		3	
258	"Pan et al.,2017"	4	QTL_Mapping	188	2	16032870	16142879	3.5		
259	"Pan et al.,2017"	4	Joint_Linkage	1887	2	16336238	16420893		2.77	
260	"Pan et al.,2017"	4	QTL_Mapping	188	2	17553181	17723017	3.4		
261	"Pan et al.,2017"	4	QTL_Mapping	188	2	28745837	28938062	5.4		
262	"Pan et al.,2017"	4	QTL_Mapping	188	2	37762188	40058255	8.6		
263	"Pan et al.,2017"	4	Joint_Linkage	1887	2	165425190	165504313		3.75	
264	"Pan et al.,2017"	4	QTL_Mapping	188	2	233265452	233265756	3.6		
265	"Pan et al.,2017"	4	QTL_Mapping	188	2	234464308	234464308	3.8		
266	"Pan et al.,2017"	4	Joint_Linkage	1887	3	11221380	11231780		3.93	
267	"Pan et al.,2017"	4	QTL_Mapping	188	3	19765078	19765078	4.4		
268	"Pan et al.,2017"	4	QTL_Mapping	188	3	43230436	43231311	6.7		
269	"Pan et al.,2017"	4	Joint_Linkage	1887	3	216586938	216804832		5.03	
270	"Pan et al.,2017"	4	Joint_Linkage	1887	3	228766697	228799192		2.87	
271	"Pan et al.,2017"	4	QTL_Mapping	188	3	228790283	228808100	3.1		
272	"Pan et al.,2017"	4	Joint_Linkage	1887	3	230173016	230246189		4.5	
273	"Pan et al.,2017"	4	Joint_Linkage	1887	3	230454324	230514857		2.96	
274	"Pan et al.,2017"	4	Joint_Linkage	1887	3	231236596	231314019		7.95	
275	"Pan et al.,2017"	4	Joint_Linkage	1887	4	181275434	181330385		3.26	
276	"Pan et al.,2017"	4	Joint_Linkage	1887	4	181926544	181962948		5.11	
277	"Pan et al.,2017"	4	Joint_Linkage	1887	4	183853540	183922735		2.87	
278	"Pan et al.,2017"	4	QTL_Mapping	188	4	216777601	218672088	3.8		
279	"Pan et al.,2017"	4	QTL_Mapping	188	4	232269930	232274188	4		
280	"Pan et al.,2017"	4	Joint_Linkage	1887	4	240061702	240119157		4.63	
281	"Pan et al.,2017"	4	QTL_Mapping	188	4	240170537	240175659	4.1		
282	"Pan et al.,2017"	4	Joint_Linkage	1887	4	240464686	240524847		2.82	
283	"Pan et al.,2017"	4	QTL_Mapping	188	5	7251629	7251629	3.9		
284	"Pan et al.,2017"	4	QTL_Mapping	188	5	8007485	8347022	3.5		
285	"Pan et al.,2017"	4	QTL_Mapping	188	5	14033008	14033008	7.7		
286	"Pan et al.,2017"	4	QTL_Mapping	188	5	17249401	18562433	9.6		
287	"Pan et al.,2017"	4	QTL_Mapping	188	5	23054811	25980602	5		
288	"Pan et al.,2017"	4	QTL_Mapping	188	5	42326018	42689693	4.6		
289	"Pan et al.,2017"	4	QTL_Mapping	188	5	67533061	68900250	3.1		
290	"Pan et al.,2017"	4	Joint_Linkage	1887	5	195899409	196121434		3.31	
291	"Pan et al.,2017"	4	Joint_Linkage	1887	5	196512726	196621965		4.45	
292	"Pan et al.,2017"	4	QTL_Mapping	188	5	209916824	209920981	3.2		
293	"Pan et al.,2017"	4	QTL_Mapping	188	5	215388844	215561626	3.2		
294	"Pan et al.,2017"	4	Joint_Linkage	1887	6	116008768	116123414		6.84	
295	"Pan et al.,2017"	4	Joint_Linkage	1887	6	117673508	117713194		5.51	
296	"Pan et al.,2017"	4	Joint_Linkage	1887	6	127925191	128018348		4.96	
297	"Pan et al.,2017"	4	QTL_Mapping	188	6	137859504	138474635	3.4		
298	"Pan et al.,2017"	4	QTL_Mapping	188	6	157932764	158403893	5.6		
299	"Pan et al.,2017"	4	Joint_Linkage	1887	6	158996812	159090623		3.06	
300	"Pan et al.,2017"	4	QTL_Mapping	188	6	161475913	161990361	8.5		
301	"Pan et al.,2017"	4	QTL_Mapping	188	6	163207888	163215474	4.3		
302	"Pan et al.,2017"	4	Joint_Linkage	1887	6	163289912	163294289		3.66	
303	"Pan et al.,2017"	4	Joint_Linkage	1887	7	125895040	126130226		8.19	
304	"Pan et al.,2017"	4	QTL_Mapping	188	7	129896750	129931436	5		
305	"Pan et al.,2017"	4	Joint_Linkage	1887	7	129959645	130064166		4.14	
306	"Pan et al.,2017"	4	Joint_Linkage	1887	7	130999702	131042570		3.44	
307	"Pan et al.,2017"	4	Joint_Linkage	1887	7	134008634	134044794		4.52	
308	"Pan et al.,2017"	4	QTL_Mapping	188	7	134132654	134132654	3.7		
309	"Pan et al.,2017"	4	Joint_Linkage	1887	7	135343490	135762154		3.25	
310	"Pan et al.,2017"	4	Joint_Linkage	1887	7	136335677	136384730		3.08	
311	"Pan et al.,2017"	4	Joint_Linkage	1887	7	137044670	137259128		3.09	
312	"Pan et al.,2017"	4	Joint_Linkage	1887	7	137434476	137625901		3.82	
313	"Pan et al.,2017"	4	Joint_Linkage	1887	7	139094343	139316940		4.26	
314	"Pan et al.,2017"	4	Joint_Linkage	1887	7	142192901	142345480		7.91	
315	"Pan et al.,2017"	4	Joint_Linkage	1887	7	143347502	143399578		3.07	
316	"Pan et al.,2017"	4	QTL_Mapping	188	7	145188730	145754730	4.9		
317	"Pan et al.,2017"	4	QTL_Mapping	188	7	146275621	146275621	5.5		
318	"Pan et al.,2017"	4	QTL_Mapping	188	7	150077434	150928908	5.4		
319	"Pan et al.,2017"	4	QTL_Mapping	188	7	154229949	154229949	5		
320	"Pan et al.,2017"	4	QTL_Mapping	188	7	157934803	158076398	4.2		
321	"Pan et al.,2017"	4	Joint_Linkage	1887	7	161232195	161355449		2.77	
322	"Pan et al.,2017"	4	Joint_Linkage	1887	7	161792149	161848968		4.25	
323	"Pan et al.,2017"	4	Joint_Linkage	1887	8	881686	908714		4.17	
324	"Pan et al.,2017"	4	Joint_Linkage	1887	8	1411367	1486511		2.88	
325	"Pan et al.,2017"	4	Joint_Linkage	1887	8	4451361	4471212		4.27	
326	"Pan et al.,2017"	4	QTL_Mapping	188	8	25017177	25017177	3.5		
327	"Pan et al.,2017"	4	Joint_Linkage	1887	8	27410053	27569763		3.87	
328	"Pan et al.,2017"	4	Joint_Linkage	1887	8	41026711	41906324		6.48	
329	"Pan et al.,2017"	4	Joint_Linkage	1887	8	50893519	53652181		2.79	
