Marker	Chromosome	Position	Population
1_56307824	1	97.92	B73
1_57892097	1	98.28	B73
1_59470040	1	99.02	B73
1_60147352	1	99.39	B73
1_61945367	1	99.76	B73
1_62713403	1	100.13	B73
1_64492953	1	100.5	B73
1_64711101	1	100.86	B73
1_64711124	1	101.23	B73
1_64717335	1	101.97	B73
1_64890298	1	102.34	B73
1_64970586	1	102.71	B73
1_65880067	1	103.08	B73
1_66580964	1	103.81	B73
1_67142007	1	104.18	B73
1_67533325	1	104.55	B73
1_67646804	1	106.03	B73
1_67727928	1	106.4	B73
1_67984854	1	107.14	B73
1_69289243	1	107.51	B73
1_72224110	1	107.88	B73
1_72884778	1	108.24	B73
1_73375502	1	108.98	B73
1_73508283	1	109.35	B73
1_74711166	1	110.09	B73
1_77532992	1	110.46	B73
1_80767101	1	110.83	B73
1_82189549	1	111.19	B73
1_83523459	1	111.56	B73
1_85896690	1	111.93	B73
1_90222085	1	112.67	B73
1_90222106	1	113.04	B73
1_90223296	1	114.52	B73
1_90223297	1	115.63	B73
1_90226858	1	116	B73
1_90329469	1	116.37	B73
1_90552627	1	117.1	B73
1_90820028	1	117.84	B73
1_90892964	1	118.21	B73
1_92240870	1	118.58	B73
1_92512827	1	118.95	B73
1_93075778	1	119.32	B73
1_96081661	1	120.05	B73
1_96836706	1	120.42	B73
1_99174557	1	120.79	B73
1_99283187	1	121.16	B73
1_102892525	1	121.9	B73
1_105231639	1	122.27	B73
1_107791215	1	122.63	B73
1_107791250	1	123	B73
1_107791251	1	123.37	B73
1_108091117	1	124.11	B73
1_110164079	1	124.48	B73
1_112849781	1	125.59	B73
1_115312056	1	125.95	B73
1_115720772	1	126.32	B73
1_119015457	1	127.06	B73
1_119022279	1	127.43	B73
1_119654607	1	127.8	B73
1_155676695	1	128.17	B73
1_158476657	1	128.53	B73
1_161683260	1	129.27	B73
1_164491111	1	130.01	B73
1_166863678	1	130.38	B73
1_166926489	1	130.75	B73
1_166926510	1	131.48	B73
1_167004239	1	131.85	B73
1_168432613	1	132.22	B73
1_170477208	1	132.96	B73
1_173226765	1	133.7	B73
1_173314679	1	134.44	B73
1_174172819	1	135.54	B73
1_174217360	1	136.28	B73
1_174295924	1	137.02	B73
1_174296261	1	137.39	B73
1_174560128	1	137.76	B73
1_176330605	1	138.13	B73
1_176504163	1	138.49	B73
1_176758447	1	138.86	B73
1_177027748	1	139.6	B73
1_177027751	1	142.96	B73
1_177411580	1	145.95	B73
1_177613478	1	146.68	B73
1_178402203	1	147.05	B73
1_179981807	1	147.79	B73
1_180625354	1	148.16	B73
1_182091061	1	148.9	B73
1_182356696	1	149.64	B73
1_182393192	1	150	B73
1_182871744	1	150.37	B73
1_183098379	1	150.74	B73
1_183806793	1	151.11	B73
1_184116955	1	151.85	B73
1_187980427	1	152.22	B73
1_188014497	1	152.58	B73
1_188052921	1	152.95	B73
1_188114588	1	153.32	B73
1_188927864	1	154.06	B73
1_189087512	1	154.43	B73
1_190481052	1	155.54	B73
1_191092871	1	155.9	B73
1_191099362	1	156.27	B73
1_191529586	1	157.01	B73
1_194021374	1	157.38	B73
1_194492785	1	157.75	B73
1_194732069	1	158.12	B73
1_194736617	1	158.48	B73
1_194738673	1	159.59	B73
1_195558508	1	159.96	B73
1_195758537	1	160.33	B73
1_195759923	1	160.7	B73
1_195878418	1	161.07	B73
1_196427791	1	161.44	B73
1_197265014	1	161.8	B73
1_198278897	1	162.54	B73
1_198278930	1	162.91	B73
1_198739836	1	163.28	B73
1_199075675	1	163.65	B73
1_199075684	1	165.5	B73
1_199104818	1	166.61	B73
1_199104821	1	166.98	B73
1_199161072	1	168.09	B73
1_199161078	1	169.57	B73
1_199161091	1	169.94	B73
1_199737863	1	170.31	B73
1_200002221	1	170.68	B73
1_200004481	1	171.05	B73
1_200250414	1	171.42	B73
1_200863502	1	171.78	B73
1_201872787	1	172.15	B73
1_202169633	1	172.52	B73
1_202920553	1	172.89	B73
1_203720113	1	173.26	B73
1_204100721	1	174	B73
1_204100907	1	174.36	B73
1_205189774	1	174.73	B73
1_205507642	1	175.1	B73
1_206123511	1	175.47	B73
1_206600197	1	176.21	B73
1_206876090	1	176.58	B73
1_207646615	1	176.95	B73
1_207709393	1	177.68	B73
1_207709396	1	178.05	B73
1_207782500	1	178.42	B73
1_207904991	1	178.79	B73
1_208020299	1	179.16	B73
1_208431154	1	179.53	B73
1_210096665	1	180.26	B73
1_210096708	1	180.63	B73
1_210465212	1	181	B73
1_211519912	1	181.74	B73
1_212488036	1	182.11	B73
1_212902046	1	182.48	B73
1_213094025	1	183.59	B73
1_214307931	1	184.33	B73
1_214307938	1	185.06	B73
1_214307947	1	185.43	B73
1_214324715	1	185.8	B73
1_214324717	1	186.54	B73
1_214649316	1	186.91	B73
1_214723689	1	187.65	B73
1_214723714	1	188.01	B73
1_214725337	1	188.38	B73
1_214993765	1	189.12	B73
1_215341313	1	189.49	B73
1_216162465	1	189.86	B73
1_216163946	1	190.23	B73
1_216533922	1	190.6	B73
1_216692599	1	191.33	B73
1_216692600	1	193.57	B73
1_216761171	1	194.68	B73
1_216846526	1	198.06	B73
1_216875563	1	198.43	B73
1_216932225	1	199.54	B73
1_217252537	1	200.28	B73
1_217252538	1	200.65	B73
1_217252744	1	201.02	B73
1_217279713	1	201.39	B73
1_217289534	1	202.13	B73
1_217289551	1	202.86	B73
1_217289577	1	203.23	B73
1_217314772	1	203.6	B73
1_217348521	1	203.97	B73
1_217524279	1	205.08	B73
1_217524303	1	205.45	B73
1_217933855	1	205.82	B73
1_218666700	1	206.19	B73
1_219064848	1	206.93	B73
1_219064968	1	207.29	B73
1_219121253	1	207.66	B73
1_219553304	1	208.4	B73
1_219553314	1	209.51	B73
1_220007631	1	209.88	B73
1_220008194	1	210.25	B73
1_222544986	1	210.99	B73
1_225868930	1	211.36	B73
1_225868971	1	212.1	B73
1_226258243	1	212.46	B73
1_228403617	1	212.83	B73
1_228403629	1	213.2	B73
1_230012821	1	213.57	B73
1_230720299	1	213.94	B73
1_231279283	1	214.68	B73
1_232514040	1	215.04	B73
1_232514051	1	215.41	B73
1_232514054	1	215.78	B73
1_232529882	1	216.52	B73
1_232744536	1	216.89	B73
1_232744629	1	217.63	B73
1_232952175	1	218.74	B73
1_234966022	1	219.11	B73
1_235909625	1	219.48	B73
1_236903080	1	219.84	B73
1_237053406	1	220.21	B73
1_237053449	1	220.58	B73
1_239612480	1	221.32	B73
1_239829172	1	221.69	B73
1_239829467	1	222.06	B73
1_241372638	1	222.43	B73
1_241553559	1	222.79	B73
1_246201134	1	223.16	B73
1_246540730	1	223.53	B73
1_246723389	1	223.9	B73
1_246822629	1	224.64	B73
1_248286805	1	225.38	B73
1_248287688	1	225.74	B73
1_251079368	1	226.11	B73
1_251112672	1	227.22	B73
1_251995326	1	227.96	B73
1_252165438	1	228.33	B73
1_253381680	1	228.7	B73
1_253506701	1	229.44	B73
1_253719150	1	230.18	B73
1_255089284	1	230.54	B73
1_255089333	1	231.28	B73
1_255638118	1	232.39	B73
1_255638129	1	232.76	B73
1_256693271	1	233.13	B73
1_262508818	1	233.5	B73
1_262545869	1	233.87	B73
1_263393868	1	234.24	B73
1_264989532	1	235.72	B73
1_265592539	1	236.09	B73
1_267531238	1	236.46	B73
1_268610186	1	236.82	B73
1_268610210	1	237.19	B73
1_268610431	1	237.93	B73
1_268610619	1	238.67	B73
1_268736655	1	239.04	B73
1_268957686	1	240.15	B73
1_269322105	1	240.52	B73
1_269322106	1	240.88	B73
1_269328545	1	241.25	B73
1_270560243	1	241.62	B73
1_270984149	1	242.36	B73
1_271314875	1	242.73	B73
1_271903087	1	243.09	B73
1_271912359	1	243.83	B73
1_271972188	1	244.2	B73
1_272576070	1	244.57	B73
1_273100835	1	244.94	B73
1_274936904	1	245.31	B73
1_274946703	1	245.67	B73
1_274947908	1	246.04	B73
1_274992729	1	246.41	B73
1_274995655	1	247.15	B73
1_275037999	1	247.52	B73
1_275776607	1	248.26	B73
1_275776628	1	248.62	B73
1_275776857	1	249.73	B73
1_276981594	1	250.1	B73
1_277018538	1	250.84	B73
1_277380300	1	251.21	B73
1_278041176	1	251.58	B73
1_278603874	1	251.94	B73
1_279115354	1	252.31	B73
1_279582198	1	252.68	B73
1_279775785	1	253.05	B73
1_279898549	1	253.79	B73
1_280341241	1	254.15	B73
1_280381838	1	254.52	B73
1_280381987	1	254.89	B73
1_280468646	1	255.26	B73
1_280468649	1	255.63	B73
1_281159457	1	256.37	B73
1_281700851	1	256.73	B73
1_281700858	1	257.47	B73
1_281700874	1	258.21	B73
1_281700890	1	258.95	B73
1_281912257	1	259.69	B73
1_283600435	1	260.05	B73
1_283600437	1	260.42	B73
1_283600439	1	261.16	B73
1_283601736	1	261.53	B73
1_283601738	1	262.27	B73
1_283862456	1	262.63	B73
1_283970999	1	263	B73
1_285077245	1	264.86	B73
1_285309838	1	265.23	B73
1_285930940	1	265.59	B73
1_285986912	1	266.7	B73
1_286021799	1	267.07	B73
1_286021814	1	267.81	B73
1_286404666	1	268.55	B73
1_286530051	1	268.92	B73
1_286852090	1	269.65	B73
1_287728148	1	270.02	B73
1_287728551	1	270.39	B73
1_288397357	1	270.76	B73
2_1775510	2	0	B73
2_1958891	2	0.37	B73
2_1958908	2	0.74	B73
2_1959073	2	1.48	B73
2_1959081	2	2.21	B73
2_2492538	2	3.32	B73
2_2676137	2	3.69	B73
2_3106090	2	4.43	B73
2_3106704	2	5.17	B73
2_3114419	2	5.54	B73
2_3225766	2	6.28	B73
2_3388643	2	7.02	B73
2_3410333	2	7.38	B73
2_3410336	2	7.75	B73
2_3748032	2	8.12	B73
2_4835940	2	8.86	B73
2_4839313	2	9.23	B73
2_5106835	2	9.6	B73
2_5467953	2	9.97	B73
2_5467960	2	10.33	B73
2_6052294	2	11.45	B73
2_6052318	2	11.81	B73
2_6053574	2	12.18	B73
2_6053985	2	12.92	B73
2_6054117	2	14.41	B73
2_6054120	2	16.27	B73
2_6054133	2	16.64	B73
2_6054142	2	17	B73
2_6054147	2	17.37	B73
2_6141386	2	17.74	B73
2_6141680	2	18.85	B73
2_6155400	2	19.22	B73
2_6179842	2	19.96	B73
2_6179848	2	20.7	B73
2_6190345	2	21.44	B73
2_6196841	2	21.8	B73
2_6200489	2	22.54	B73
2_6466628	2	23.28	B73
2_6471863	2	23.65	B73
2_6642423	2	24.02	B73
2_6716219	2	24.39	B73
2_7179019	2	24.75	B73
2_7217666	2	25.12	B73
2_7217685	2	25.49	B73
2_7292909	2	26.23	B73
2_7527627	2	26.6	B73
2_7527878	2	27.34	B73
2_7664079	2	27.71	B73
2_7952392	2	28.07	B73
2_8287941	2	28.81	B73
2_8805281	2	29.18	B73
2_8811918	2	29.92	B73
2_9003933	2	30.29	B73
2_9085639	2	30.66	B73
2_9267201	2	31.02	B73
2_9414919	2	31.39	B73
2_9425240	2	31.76	B73
2_9425311	2	32.5	B73
2_9441464	2	33.24	B73
2_9445001	2	33.61	B73
2_9645337	2	33.97	B73
2_9985763	2	34.34	B73
2_10482065	2	34.71	B73
2_11060728	2	35.08	B73
2_11060754	2	35.45	B73
2_11398810	2	35.82	B73
2_11580732	2	36.19	B73
2_11679830	2	36.55	B73
2_11829249	2	36.92	B73
2_12197794	2	37.29	B73
2_12241572	2	37.66	B73
2_12352398	2	38.03	B73
2_12679506	2	38.4	B73
2_13381958	2	38.76	B73
2_13404992	2	39.5	B73
2_13637860	2	40.99	B73
2_13799473	2	41.35	B73
2_13799494	2	41.72	B73
2_14222452	2	42.46	B73
2_14256883	2	42.83	B73
2_14267092	2	43.2	B73
2_14401344	2	44.31	B73
2_14401365	2	44.68	B73
2_14805764	2	45.04	B73
2_15019900	2	45.41	B73
2_15244064	2	45.78	B73
2_15482198	2	46.15	B73
2_15973605	2	46.52	B73
2_15976382	2	46.89	B73
2_15976385	2	47.26	B73
2_16344175	2	47.62	B73
2_16353287	2	47.99	B73
2_16401968	2	48.36	B73
2_16402264	2	48.73	B73
2_16466550	2	49.1	B73
2_16466579	2	49.47	B73
2_16645211	2	49.83	B73
2_16873083	2	50.2	B73
2_16928447	2	50.94	B73
2_16928450	2	51.68	B73
2_16928504	2	52.79	B73
2_16941158	2	53.16	B73
2_16941305	2	53.9	B73
2_17100506	2	54.27	B73
2_17101987	2	54.63	B73
2_17230571	2	55	B73
2_17577924	2	55.37	B73
2_17610464	2	55.74	B73
2_17610465	2	56.11	B73
2_17789897	2	56.48	B73
2_17862588	2	56.84	B73
2_18112337	2	57.21	B73
2_18120445	2	57.95	B73
2_18132460	2	58.32	B73
2_18132989	2	58.69	B73
2_18615971	2	59.06	B73
2_18616291	2	59.43	B73
2_19259494	2	60.16	B73
2_19459225	2	61.27	B73
2_20003179	2	61.64	B73
2_20003181	2	62.38	B73
2_20008544	2	62.75	B73
2_20120227	2	63.12	B73
2_21258010	2	63.86	B73
2_21280888	2	64.22	B73
2_21425444	2	64.59	B73
2_21729148	2	64.96	B73
2_21872818	2	65.7	B73
2_21874028	2	66.07	B73
2_22039867	2	66.44	B73
2_22039871	2	67.92	B73
2_22189008	2	68.29	B73
2_22195128	2	69.03	B73
2_22884570	2	69.4	B73
2_22972190	2	69.76	B73
2_22972193	2	70.13	B73
2_22972374	2	70.87	B73
2_22987312	2	71.24	B73
2_22996781	2	71.61	B73
2_22996805	2	72.35	B73
2_22999474	2	73.08	B73
2_23547607	2	73.82	B73
2_23625214	2	74.19	B73
2_23716640	2	74.56	B73
2_23720369	2	74.93	B73
2_23886865	2	75.3	B73
2_24367726	2	75.66	B73
2_24693234	2	76.03	B73
2_25772977	2	76.4	B73
2_25772979	2	76.77	B73
2_26296866	2	77.14	B73
2_27762941	2	77.88	B73
2_27762943	2	78.24	B73
2_27832961	2	78.61	B73
2_27849653	2	78.98	B73
2_27849688	2	79.35	B73
2_27870786	2	80.09	B73
2_27999302	2	80.45	B73
2_27999603	2	80.82	B73
2_28139771	2	81.19	B73
2_28300819	2	81.56	B73
2_28672375	2	81.93	B73
2_28976471	2	82.3	B73
2_29122562	2	82.67	B73
2_29232681	2	83.03	B73
2_29268821	2	83.4	B73
2_29912424	2	83.77	B73
2_30273213	2	84.14	B73
2_30341483	2	84.51	B73
2_31351651	2	84.88	B73
2_31644985	2	85.24	B73
2_32949539	2	85.61	B73
2_33075472	2	85.98	B73
2_33760151	2	86.35	B73
2_33781069	2	86.72	B73
2_34924764	2	87.09	B73
2_36908920	2	87.45	B73
2_37554794	2	88.19	B73
2_37864034	2	88.56	B73
2_38324947	2	89.3	B73
2_39434656	2	89.67	B73
2_40148342	2	90.03	B73
2_40411859	2	90.77	B73
2_40411862	2	91.88	B73
2_40507777	2	92.25	B73
2_40589835	2	92.62	B73
2_41306939	2	93.73	B73
2_41479838	2	94.84	B73
2_41480013	2	96.32	B73
2_41734740	2	96.69	B73
2_41736635	2	97.06	B73
2_41895203	2	97.79	B73
2_42958243	2	98.16	B73
2_45771826	2	98.53	B73
2_52659698	2	98.9	B73
2_53055530	2	99.27	B73
2_53329791	2	99.64	B73
2_53366539	2	100.37	B73
2_54043193	2	100.74	B73
2_54088021	2	101.11	B73
2_54259021	2	101.48	B73
2_58755342	2	102.22	B73
2_58756585	2	102.58	B73
2_59015266	2	103.32	B73
2_62989590	2	103.69	B73
2_67152210	2	104.06	B73
2_67152213	2	104.43	B73
2_67152215	2	104.8	B73
2_67849683	2	105.16	B73
2_90171941	2	106.27	B73
2_96952153	2	106.64	B73
2_105162543	2	107.01	B73
2_118615859	2	107.38	B73
2_119284003	2	107.75	B73
2_119909473	2	108.12	B73
2_120658924	2	108.85	B73
2_122230894	2	109.22	B73
2_128059957	2	109.59	B73
2_132571821	2	109.96	B73
2_132573321	2	111.07	B73
2_132573487	2	111.44	B73
2_133072910	2	112.17	B73
2_133185112	2	112.54	B73
2_133187684	2	112.91	B73
2_136667111	2	113.65	B73
2_143664882	2	114.02	B73
2_144477836	2	114.38	B73
2_144720999	2	114.75	B73
2_148879636	2	115.49	B73
2_149202995	2	115.86	B73
2_149203080	2	116.23	B73
2_149203089	2	116.6	B73
2_149203100	2	116.96	B73
2_149523377	2	117.7	B73
2_150015574	2	118.44	B73
2_150028982	2	119.18	B73
2_150802889	2	119.55	B73
2_152918436	2	119.92	B73
2_153025793	2	120.28	B73
2_153090637	2	121.39	B73
2_153951465	2	121.76	B73
2_163718083	2	122.13	B73
2_168549999	2	122.5	B73
2_168550001	2	123.24	B73
2_168550002	2	127.36	B73
2_168917704	2	132.64	B73
2_169060786	2	133.01	B73
2_170621093	2	133.38	B73
2_170621095	2	133.74	B73
2_172253086	2	134.11	B73
2_177440263	2	134.48	B73
2_177899784	2	134.85	B73
2_177899795	2	135.22	B73
2_178080019	2	135.59	B73
2_178497751	2	137.44	B73
2_178665987	2	137.81	B73
2_178666022	2	138.18	B73
2_178882022	2	138.55	B73
2_180156786	2	139.28	B73
2_182174712	2	139.65	B73
2_182610252	2	140.02	B73
2_182642219	2	140.39	B73
2_183105525	2	140.76	B73
2_185584530	2	141.13	B73
2_185600214	2	141.49	B73
2_186178198	2	141.86	B73
2_186199688	2	142.97	B73
2_186898579	2	143.34	B73
2_188153344	2	143.71	B73
2_189333489	2	144.08	B73
2_189555793	2	144.44	B73
2_190431129	2	144.81	B73
2_192598937	2	145.18	B73
2_192700697	2	145.92	B73
2_193730314	2	146.29	B73
2_193734583	2	147.02	B73
2_193815515	2	147.39	B73
2_194907632	2	147.76	B73
2_197223303	2	148.5	B73
2_198407355	2	148.87	B73
2_198407373	2	149.98	B73
2_198408504	2	150.35	B73
2_200005680	2	151.08	B73
2_200456487	2	151.45	B73
2_202917161	2	151.82	B73
2_203521713	2	152.19	B73
2_203599289	2	152.93	B73
2_203723380	2	153.29	B73
2_203948748	2	153.66	B73
2_204082469	2	154.03	B73
2_204245161	2	154.4	B73
2_204341899	2	154.77	B73
2_205904802	2	155.14	B73
2_206217975	2	155.51	B73
2_206217978	2	155.87	B73
2_206217985	2	157.36	B73
2_206219806	2	158.1	B73
2_206219851	2	158.46	B73
2_206219945	2	159.2	B73
2_206490142	2	160.68	B73
2_206948287	2	161.05	B73
2_206948343	2	161.42	B73
2_207833604	2	161.79	B73
2_208329758	2	162.9	B73
2_208611667	2	163.27	B73
2_208975257	2	164.01	B73
2_208976692	2	164.37	B73
2_209506613	2	165.11	B73
2_209634976	2	165.48	B73
2_209634982	2	165.85	B73
2_210106937	2	166.22	B73
2_210312944	2	166.96	B73
2_211722501	2	167.33	B73
2_212533532	2	167.69	B73
2_212533646	2	168.43	B73
2_212533692	2	169.54	B73
2_212545875	2	169.91	B73
2_212545925	2	170.65	B73
2_212549699	2	171.39	B73
2_212641200	2	172.5	B73
2_212799971	2	172.87	B73
2_212799984	2	173.23	B73
2_212812440	2	173.6	B73
2_213232417	2	173.97	B73
2_213307773	2	174.34	B73
2_213310646	2	175.08	B73
2_213361041	2	175.82	B73
2_213588892	2	176.18	B73
2_214000648	2	176.55	B73
2_214000661	2	176.92	B73
2_214000662	2	179.16	B73
2_214000749	2	181.39	B73
2_214000750	2	181.76	B73
2_214659924	2	187.06	B73
2_214665258	2	187.43	B73
2_215016100	2	187.8	B73
2_215043044	2	188.17	B73
2_215089154	2	188.54	B73
2_215089740	2	189.28	B73
2_215135019	2	189.64	B73
2_215338848	2	190.01	B73
2_215338867	2	190.38	B73
2_215514501	2	190.75	B73
2_215525272	2	191.12	B73
2_215525302	2	191.86	B73
2_215548928	2	192.22	B73
2_215551514	2	192.59	B73
2_215551642	2	193.33	B73
2_216003971	2	194.81	B73
2_216003980	2	196.3	B73
2_216029376	2	197.78	B73
2_216041231	2	198.15	B73
2_216633567	2	198.51	B73
2_216666148	2	198.88	B73
2_216821562	2	199.25	B73
2_217094429	2	199.62	B73
2_217227711	2	200.36	B73
2_217407832	2	200.73	B73
2_217507477	2	201.1	B73
2_217686137	2	202.2	B73
2_217686152	2	203.31	B73
2_217686642	2	204.05	B73
2_218748018	2	205.16	B73
2_218843936	2	205.9	B73
2_219118143	2	206.27	B73
2_219192890	2	207.01	B73
2_220469049	2	207.38	B73
2_220725887	2	208.11	B73
2_220764547	2	208.48	B73
2_222268306	2	208.85	B73
2_222272817	2	209.22	B73
2_222649363	2	209.59	B73
2_222693751	2	210.32	B73
2_222731170	2	210.69	B73
2_222924891	2	211.06	B73
2_223252188	2	211.8	B73
2_223510498	2	212.54	B73
2_223510505	2	213.28	B73
2_223943136	2	213.64	B73
2_223976177	2	214.01	B73
2_224341777	2	214.38	B73
2_224550597	2	214.75	B73
2_224595151	2	215.12	B73
2_225127648	2	215.49	B73
2_225601273	2	216.22	B73
2_226329895	2	216.59	B73
2_226393622	2	216.96	B73
2_226452729	2	217.33	B73
2_226631499	2	217.7	B73
2_226631645	2	218.07	B73
2_228081550	2	218.81	B73
2_228096452	2	219.17	B73
2_228988032	2	219.54	B73
2_229298740	2	220.28	B73
2_229418787	2	220.65	B73
2_229418788	2	221.02	B73
2_229418790	2	221.76	B73
2_229418801	2	222.12	B73
2_229418802	2	222.86	B73
2_229418808	2	223.6	B73
2_229418810	2	226.21	B73
2_229418837	2	230.72	B73
2_229427043	2	231.09	B73
2_229428294	2	237.16	B73
2_229450418	2	237.9	B73
2_229450421	2	238.27	B73
2_229450437	2	238.63	B73
2_229450438	2	239.74	B73
2_229915941	2	241.23	B73
2_229979213	2	241.59	B73
2_229996082	2	243.08	B73
2_230414736	2	243.44	B73
2_230414737	2	244.55	B73
2_230520537	2	244.92	B73
2_230523621	2	245.29	B73
2_230607315	2	246.03	B73
2_231283149	2	246.4	B73
2_231382396	2	246.77	B73
2_231382398	2	247.13	B73
2_231382419	2	247.5	B73
2_231382697	2	248.24	B73
2_231382764	2	248.61	B73
2_232171252	2	249.35	B73
2_232171377	2	249.72	B73
2_232180479	2	250.08	B73
2_232364638	2	250.45	B73
2_232367346	2	251.19	B73
2_232369637	2	251.56	B73
2_232528653	2	252.3	B73
2_233012597	2	252.67	B73
2_233600973	2	254.9	B73
2_233632990	2	256.01	B73
2_233741906	2	257.49	B73
2_233747467	2	257.86	B73
2_233802695	2	258.22	B73
2_234101238	2	258.59	B73
2_234717083	2	258.96	B73
3_1469060	3	0	B73
3_1628692	3	0.37	B73
3_1628695	3	0.74	B73
3_1628724	3	1.48	B73
3_1629597	3	1.84	B73
3_1629603	3	2.21	B73
3_1633277	3	2.58	B73
3_1724181	3	3.32	B73
3_1896826	3	3.69	B73
3_1976523	3	4.43	B73
3_2001664	3	4.79	B73
3_2001688	3	5.16	B73
3_2001689	3	5.53	B73
3_2001690	3	6.64	B73
3_2062049	3	7.38	B73
3_2062053	3	8.49	B73
3_2062081	3	8.86	B73
3_2062130	3	9.22	B73
3_2073475	3	9.96	B73
3_2076838	3	10.7	B73
3_2083916	3	11.07	B73
3_2084094	3	11.81	B73
3_2084100	3	12.55	B73
3_2102411	3	12.91	B73
3_2102416	3	13.28	B73
3_2116982	3	14.39	B73
3_2118128	3	15.13	B73
3_2118623	3	15.5	B73
3_2127518	3	16.24	B73
3_2138587	3	16.61	B73
3_2138728	3	16.97	B73
3_2146820	3	18.08	B73
3_2154904	3	18.82	B73
