Population	TraitID	TraitName	Chromosome	Position	LeftMarker	RightMarker	LOD
B73	1	F2_MLA	1	160	1_251079368	1_251112672	0.0179
B73	1	F2_MLA	1	161	1_251995326	1_252165438	0.0491
B73	1	F2_MLA	1	162	1_253381680	1_253506701	0.0362
B73	1	F2_MLA	1	163	1_253506701	1_253719150	0.0283
B73	1	F2_MLA	1	164	1_255089284	1_255089333	0.0232
B73	1	F2_MLA	1	165	1_255089333	1_255638118	0.0139
B73	1	F2_MLA	1	166	1_255638129	1_256693271	0.0025
B73	1	F2_MLA	1	167	1_262545869	1_263393868	0.015
B73	1	F2_MLA	1	168	1_264989532	1_265592539	0.0301
B73	1	F2_MLA	1	169	1_264989532	1_265592539	0.0701
B73	1	F2_MLA	1	170	1_265592539	1_267531238	0.1461
B73	1	F2_MLA	1	171	1_268610210	1_268610431	0.1345
B73	1	F2_MLA	1	172	1_268610210	1_268610431	0.089
B73	1	F2_MLA	1	173	1_268610210	1_268610431	0.0584
B73	1	F2_MLA	1	174	1_268610210	1_268610431	0.0466
B73	1	F2_MLA	1	175	1_268610619	1_268736655	0.0323
B73	1	F2_MLA	1	176	1_268736655	1_268957686	0.1216
B73	1	F2_MLA	1	177	1_269322105	1_269322106	0.1115
B73	1	F2_MLA	1	178	1_270560243	1_270984149	0.122
B73	1	F2_MLA	1	179	1_271314875	1_271903087	0.1551
B73	1	F2_MLA	1	180	1_271903087	1_271912359	0.1181
B73	1	F2_MLA	1	181	1_272576070	1_273100835	0.0412
B73	1	F2_MLA	1	182	1_272576070	1_273100835	0.0407
B73	1	F2_MLA	1	183	1_272576070	1_273100835	0.0402
B73	1	F2_MLA	1	184	1_272576070	1_273100835	0.0397
B73	1	F2_MLA	1	185	1_272576070	1_273100835	0.0391
B73	1	F2_MLA	1	186	1_272576070	1_273100835	0.0386
B73	1	F2_MLA	1	187	1_272576070	1_273100835	0.038
B73	1	F2_MLA	1	188	1_272576070	1_273100835	0.0375
B73	1	F2_MLA	1	189	1_272576070	1_273100835	0.0369
B73	1	F2_MLA	1	190	1_274947908	1_274992729	0.031
B73	1	F2_MLA	1	191	1_274995655	1_275037999	6.2454
B73	1	F2_MLA	1	192	1_275037999	1_275776607	0.002
B73	1	F2_MLA	1	193	1_275776628	1_275776857	0.0573
B73	1	F2_MLA	1	194	1_276981594	1_277018538	0.093
B73	1	F2_MLA	1	195	1_277380300	1_278041176	0.1828
B73	1	F2_MLA	1	196	1_279582198	1_279775785	0.1152
B73	1	F2_MLA	1	197	1_279775785	1_279898549	0.0811
B73	1	F2_MLA	1	198	1_280381838	1_280381987	0.0576
B73	1	F2_MLA	1	199	1_280468649	1_281159457	0.0414
B73	1	F2_MLA	1	200	1_281159457	1_281700851	0.0464
B73	1	F2_MLA	1	201	1_281700874	1_281700890	0.16
B73	1	F2_MLA	1	202	1_281700890	1_281912257	0.192
B73	1	F2_MLA	1	203	1_281912257	1_283600435	0.2053
B73	1	F2_MLA	1	204	1_283600437	1_283600439	0.3259
B73	1	F2_MLA	1	205	1_283601736	1_283601738	0.4795
B73	1	F2_MLA	1	206	1_283601736	1_283601738	0.4805
B73	1	F2_MLA	1	207	1_283601736	1_283601738	0.4815
B73	1	F2_MLA	1	208	1_283601736	1_283601738	0.4825
B73	1	F2_MLA	1	209	1_283601736	1_283601738	0.4836
B73	1	F2_MLA	1	210	1_283601736	1_283601738	0.4846
B73	1	F2_MLA	1	211	1_283601736	1_283601738	0.4857
B73	1	F2_MLA	1	212	1_283601736	1_283601738	0.4867
B73	1	F2_MLA	1	213	1_283601736	1_283601738	0.4877
B73	1	F2_MLA	1	214	1_283601736	1_283601738	0.4887
B73	1	F2_MLA	1	215	1_283601736	1_283601738	0.4897
B73	1	F2_MLA	1	216	1_283601736	1_283601738	0.4905
B73	1	F2_MLA	1	217	1_283601736	1_283601738	0.4913
B73	1	F2_MLA	1	218	1_283601736	1_283601738	0.4919
B73	1	F2_MLA	1	219	1_283601736	1_283601738	0.4924
B73	1	F2_MLA	1	220	1_283601736	1_283601738	0.4927
B73	1	F2_MLA	1	221	1_283601736	1_283601738	0.4928
B73	1	F2_MLA	1	222	1_283601736	1_283601738	0.4926
B73	1	F2_MLA	1	223	1_283601736	1_283601738	0.4922
B73	1	F2_MLA	1	224	1_283601736	1_283601738	0.4914
B73	1	F2_MLA	1	225	1_283601736	1_283601738	0.4902
B73	1	F2_MLA	1	226	1_283601736	1_283601738	0.4886
B73	1	F2_MLA	1	227	1_283601736	1_283601738	0.4866
B73	1	F2_MLA	1	228	1_283601736	1_283601738	0.484
B73	1	F2_MLA	1	229	1_283601736	1_283601738	0.4809
B73	1	F2_MLA	1	230	1_283601736	1_283601738	0.4772
B73	1	F2_MLA	1	231	1_283601736	1_283601738	0.4731
B73	1	F2_MLA	1	232	1_283601736	1_283601738	0.4683
B73	1	F2_MLA	1	233	1_283601736	1_283601738	0.463
B73	1	F2_MLA	1	234	1_283601736	1_283601738	0.4573
B73	1	F2_MLA	1	235	1_283601736	1_283601738	0.4512
B73	1	F2_MLA	1	236	1_283601736	1_283601738	0.4447
B73	1	F2_MLA	1	237	1_283601736	1_283601738	0.438
B73	1	F2_MLA	1	238	1_283601736	1_283601738	0.4311
B73	1	F2_MLA	1	239	1_283601736	1_283601738	0.4241
B73	1	F2_MLA	1	240	1_283601736	1_283601738	0.4172
B73	1	F2_MLA	1	241	1_283601736	1_283601738	0.4104
B73	1	F2_MLA	1	242	1_283601736	1_283601738	0.4037
B73	1	F2_MLA	1	243	1_283601736	1_283601738	0.3972
B73	1	F2_MLA	1	244	1_283601736	1_283601738	0.391
B73	1	F2_MLA	1	245	1_283601736	1_283601738	0.3851
B73	1	F2_MLA	1	246	1_283601736	1_283601738	0.3795
B73	1	F2_MLA	1	247	1_283601736	1_283601738	0.3742
B73	1	F2_MLA	1	248	1_283601736	1_283601738	0.3693
B73	1	F2_MLA	1	249	1_283601736	1_283601738	0.3647
B73	1	F2_MLA	1	250	1_283601736	1_283601738	0.3604
B73	1	F2_MLA	1	251	1_283601736	1_283601738	0.3565
B73	1	F2_MLA	1	252	1_283601736	1_283601738	0.3528
B73	1	F2_MLA	1	253	1_283601736	1_283601738	0.3494
B73	1	F2_MLA	1	254	1_283601736	1_283601738	0.3463
B73	1	F2_MLA	1	255	1_283601736	1_283601738	0.3434
B73	1	F2_MLA	1	256	1_283601736	1_283601738	0.3407
B73	1	F2_MLA	1	257	1_283601736	1_283601738	0.3383
B73	1	F2_MLA	1	258	1_283601736	1_283601738	0.336
B73	1	F2_MLA	1	259	1_283601736	1_283601738	0.3339
B73	1	F2_MLA	1	260	1_283601736	1_283601738	0.3319
B73	1	F2_MLA	1	261	1_283601736	1_283601738	0.3301
B73	1	F2_MLA	1	262	1_283601736	1_283601738	0.3284
B73	1	F2_MLA	1	263	1_283970999	1_285077245	0.1791
B73	1	F2_MLA	1	264	1_283970999	1_285077245	0.2731
B73	1	F2_MLA	1	265	1_285077245	1_285309838	0.3581
B73	1	F2_MLA	1	266	1_285930940	1_285986912	0.3306
B73	1	F2_MLA	1	267	1_285986912	1_286021799	0.281
B73	1	F2_MLA	1	268	1_286021814	1_286404666	0.344
B73	1	F2_MLA	1	269	1_286530051	1_286852090	0.4239
B73	1	F2_MLA	1	270	1_286852090	1_287728148	0.4209
B73	1	F2_MLA	2	0	2_1775510	2_1958891	1.0583
B73	1	F2_MLA	2	1	2_3388643	2_3410333	0.6708
B73	1	F2_MLA	2	2	2_3410336	2_3748032	0.5933
B73	1	F2_MLA	2	3	2_4835940	2_4839313	0.4526
B73	1	F2_MLA	2	4	2_5467953	2_5467960	0.4946
B73	1	F2_MLA	2	5	2_5467960	2_6052294	0.3386
B73	1	F2_MLA	2	6	2_6052318	2_6053574	0.271
B73	1	F2_MLA	2	7	2_6053985	2_6054117	0.242
B73	1	F2_MLA	2	8	2_6053985	2_6054117	0.2156
B73	1	F2_MLA	2	9	2_6054117	2_6054120	0.2217
B73	1	F2_MLA	2	10	2_6054117	2_6054120	0.223
B73	1	F2_MLA	2	11	2_6054142	2_6054147	0.2199
B73	1	F2_MLA	2	12	2_6141386	2_6141680	0.4154
B73	1	F2_MLA	2	13	2_6141680	2_6155400	0.6942
B73	1	F2_MLA	2	14	2_6179842	2_6179848	0.5836
B73	1	F2_MLA	2	15	2_6179848	2_6190345	0.4904
B73	1	F2_MLA	2	16	2_6196841	2_6200489	0.4391
B73	1	F2_MLA	2	17	2_6200489	2_6466628	0.5825
B73	1	F2_MLA	2	18	2_6642423	2_6716219	0.6318
B73	1	F2_MLA	2	19	2_7179019	2_7217666	0.9645
B73	1	F2_MLA	2	20	2_7217685	2_7292909	0.8908
B73	1	F2_MLA	2	21	2_7527627	2_7527878	0.6811
B73	1	F2_MLA	2	22	2_7952392	2_8287941	0.6994
B73	1	F2_MLA	2	23	2_8287941	2_8805281	0.6962
B73	1	F2_MLA	2	24	2_8811918	2_9003933	0.412
B73	1	F2_MLA	2	25	2_9267201	2_9414919	0.3945
B73	1	F2_MLA	2	26	2_9425240	2_9425311	0.3933
B73	1	F2_MLA	2	27	2_9425311	2_9441464	0.3869
B73	1	F2_MLA	2	28	2_9645337	2_9985763	0.388
B73	1	F2_MLA	2	29	2_10482065	2_11060728	0.4437
B73	1	F2_MLA	2	30	2_11398810	2_11580732	0.2825
B73	1	F2_MLA	2	31	2_11829249	2_12197794	0.2945
B73	1	F2_MLA	2	32	2_12352398	2_12679506	0.3405
B73	1	F2_MLA	2	33	2_13381958	2_13404992	0.3651
B73	1	F2_MLA	2	34	2_13404992	2_13637860	0.3698
B73	1	F2_MLA	2	35	2_13637860	2_13799473	0.3285
B73	1	F2_MLA	2	36	2_13799494	2_14222452	0.3708
B73	1	F2_MLA	2	37	2_14267092	2_14401344	0.3229
B73	1	F2_MLA	2	38	2_14401365	2_14805764	0.4032
B73	1	F2_MLA	2	39	2_15244064	2_15482198	0.4135
B73	1	F2_MLA	2	40	2_18112337	2_18120445	0.387
B73	1	F2_MLA	2	41	2_18120445	2_18132460	0.2864
B73	1	F2_MLA	2	42	2_18615971	2_18616291	0.3728
B73	1	F2_MLA	2	43	2_19259494	2_19459225	0.2524
B73	1	F2_MLA	2	44	2_19459225	2_20003179	0.096
B73	1	F2_MLA	2	45	2_20003179	2_20003181	0.1365
B73	1	F2_MLA	2	46	2_20120227	2_21258010	0.079
B73	1	F2_MLA	2	47	2_21280888	2_21425444	0.0527
B73	1	F2_MLA	2	48	2_21729148	2_21872818	0.1559
B73	1	F2_MLA	2	49	2_22039867	2_22039871	0.1049
B73	1	F2_MLA	2	50	2_22039867	2_22039871	0.0766
B73	1	F2_MLA	2	51	2_22039871	2_22189008	0.0559
B73	1	F2_MLA	2	52	2_22189008	2_22195128	0.0673
B73	1	F2_MLA	2	53	2_22189008	2_22195128	0.0655
B73	1	F2_MLA	2	54	2_22189008	2_22195128	0.0637
B73	1	F2_MLA	2	55	2_22189008	2_22195128	0.0621
B73	1	F2_MLA	2	56	2_22189008	2_22195128	0.0606
B73	1	F2_MLA	2	57	2_22189008	2_22195128	0.0593
B73	1	F2_MLA	2	58	2_22189008	2_22195128	0.0581
B73	1	F2_MLA	2	59	2_22189008	2_22195128	0.0572
B73	1	F2_MLA	2	60	2_22189008	2_22195128	0.0564
B73	1	F2_MLA	2	61	2_22189008	2_22195128	0.0557
B73	1	F2_MLA	2	62	2_22195128	2_22884570	0.0569
B73	1	F2_MLA	2	63	2_22972193	2_22972374	0.0618
B73	1	F2_MLA	2	64	2_22987312	2_22996781	0.0751
B73	1	F2_MLA	2	65	2_25772979	2_26296866	0.0063
B73	1	F2_MLA	2	66	2_27762941	2_27762943	0.0034
B73	1	F2_MLA	2	67	2_27849653	2_27849688	0.0497
B73	1	F2_MLA	2	68	2_27849688	2_27870786	0.0318
B73	1	F2_MLA	2	69	2_27999603	2_28139771	0.0267
B73	1	F2_MLA	2	70	2_28672375	2_28976471	0.0146
B73	1	F2_MLA	2	71	2_29232681	2_29268821	0.0156
B73	1	F2_MLA	2	72	2_29912424	2_30273213	0.0568
B73	1	F2_MLA	2	73	2_29912424	2_30273213	0.0555
B73	1	F2_MLA	2	74	2_29912424	2_30273213	0.0542
B73	1	F2_MLA	2	75	2_29912424	2_30273213	0.053
B73	1	F2_MLA	2	76	2_29912424	2_30273213	0.0517
B73	1	F2_MLA	2	77	2_29912424	2_30273213	0.0504
B73	1	F2_MLA	2	78	2_29912424	2_30273213	0.0491
B73	1	F2_MLA	2	79	2_29912424	2_30273213	0.0478
B73	1	F2_MLA	2	80	2_29912424	2_30273213	0.0465
B73	1	F2_MLA	2	81	2_29912424	2_30273213	0.0453
B73	1	F2_MLA	2	82	2_29912424	2_30273213	0.0441
B73	1	F2_MLA	2	83	2_29912424	2_30273213	0.0429
B73	1	F2_MLA	2	84	2_29912424	2_30273213	0.0417
B73	1	F2_MLA	2	85	2_29912424	2_30273213	0.0406
B73	1	F2_MLA	2	86	2_29912424	2_30273213	0.0396
B73	1	F2_MLA	2	87	2_29912424	2_30273213	0.0386
B73	1	F2_MLA	2	88	2_29912424	2_30273213	0.0377
B73	1	F2_MLA	2	89	2_29912424	2_30273213	0.0368
B73	1	F2_MLA	2	90	2_29912424	2_30273213	0.036
B73	1	F2_MLA	2	91	2_29912424	2_30273213	0.0352
B73	1	F2_MLA	2	92	2_29912424	2_30273213	0.0346
B73	1	F2_MLA	2	93	2_29912424	2_30273213	0.034
B73	1	F2_MLA	2	94	2_29912424	2_30273213	0.0334
B73	1	F2_MLA	2	95	2_29912424	2_30273213	0.0329
B73	1	F2_MLA	2	96	2_29912424	2_30273213	0.0325
B73	1	F2_MLA	2	97	2_29912424	2_30273213	0.0322
B73	1	F2_MLA	2	98	2_30341483	2_31351651	0.0305
B73	1	F2_MLA	2	99	2_32949539	2_33075472	0.2025
B73	1	F2_MLA	2	100	2_33781069	2_34924764	0.177
B73	1	F2_MLA	2	101	2_36908920	2_37554794	0.1771
B73	1	F2_MLA	2	102	2_37864034	2_38324947	0.2038
B73	1	F2_MLA	2	103	2_39434656	2_40148342	0.2158
B73	1	F2_MLA	2	104	2_40411859	2_40411862	0.393
B73	1	F2_MLA	2	105	2_40411859	2_40411862	0.4604
B73	1	F2_MLA	2	106	2_40589835	2_41306939	0.5189
B73	1	F2_MLA	2	107	2_41306939	2_41479838	0.4374
B73	1	F2_MLA	2	108	2_41306939	2_41479838	0.428
B73	1	F2_MLA	2	109	2_41479838	2_41480013	0.4193
B73	1	F2_MLA	2	110	2_41734740	2_41736635	0.2506
B73	1	F2_MLA	2	111	2_41895203	2_42958243	0.2573
B73	1	F2_MLA	2	112	2_45771826	2_52659698	0.1615
B73	1	F2_MLA	2	113	2_53329791	2_53366539	0.27
B73	1	F2_MLA	2	114	2_54043193	2_54088021	0.52
B73	1	F2_MLA	2	115	2_54259021	2_58755342	0.2549
B73	1	F2_MLA	2	116	2_58756585	2_59015266	0.4975
B73	1	F2_MLA	2	117	2_62989590	2_67152210	0.5231
B73	1	F2_MLA	2	118	2_67152213	2_67152215	0.4282
B73	1	F2_MLA	2	119	2_67849683	2_90171941	0.5635
B73	1	F2_MLA	2	120	2_96952153	2_105162543	0.6267
B73	1	F2_MLA	2	121	2_119284003	2_119909473	0.7701
B73	1	F2_MLA	2	122	2_119909473	2_120658924	0.5555
B73	1	F2_MLA	2	123	2_128059957	2_132571821	0.5596
B73	1	F2_MLA	2	124	2_128059957	2_132571821	0.5692
B73	1	F2_MLA	2	125	2_128059957	2_132571821	0.579
B73	1	F2_MLA	2	126	2_128059957	2_132571821	0.5891
B73	1	F2_MLA	2	127	2_132571821	2_132573321	0.5878
B73	1	F2_MLA	2	128	2_132573321	2_132573487	0.5629
B73	1	F2_MLA	2	129	2_133072910	2_133185112	0.3602
B73	1	F2_MLA	2	130	2_133187684	2_136667111	0.5798
B73	1	F2_MLA	2	131	2_143664882	2_144477836	0.3903
B73	1	F2_MLA	2	132	2_144720999	2_148879636	0.5374
B73	1	F2_MLA	2	133	2_149202995	2_149203080	0.6445
B73	1	F2_MLA	2	134	2_149203100	2_149523377	0.4471
B73	1	F2_MLA	2	135	2_149203100	2_149523377	0.4741
B73	1	F2_MLA	2	136	2_150028982	2_150802889	0.5877
B73	1	F2_MLA	2	137	2_152918436	2_153025793	0.4616
B73	1	F2_MLA	2	138	2_153025793	2_153090637	0.4974
B73	1	F2_MLA	2	139	2_168550002	2_168917704	0.8537
B73	1	F2_MLA	2	140	2_168550002	2_168917704	0.7383
B73	1	F2_MLA	2	141	2_168550002	2_168917704	0.6522
B73	1	F2_MLA	2	142	2_170621095	2_172253086	0.846
B73	1	F2_MLA	2	143	2_172253086	2_177440263	0.8398
B73	1	F2_MLA	2	144	2_172253086	2_177440263	0.8284
B73	1	F2_MLA	2	145	2_172253086	2_177440263	0.8173
B73	1	F2_MLA	2	146	2_172253086	2_177440263	0.8066
B73	1	F2_MLA	2	147	2_172253086	2_177440263	0.7964
B73	1	F2_MLA	2	148	2_172253086	2_177440263	0.7868
B73	1	F2_MLA	2	149	2_172253086	2_177440263	0.7781
B73	1	F2_MLA	2	150	2_172253086	2_177440263	0.7702
B73	1	F2_MLA	2	151	2_172253086	2_177440263	0.7633
