Gene	Species	annotation	Chr	Maize Gene Model	start	end	Rice Gene Model	Alternative Rice Gene Model Name	Source	Gene Effect
SOL1	Rice		9	GRMZM2G405203	18894557	18897788	Os06g0154200	LOC_Os06g06050	10.1073/pnas.1411859111	
OsGSR1	Rice		9	GRMZM2G105364	32910946	32912670	Os06g0266800	LOC_Os06g15620	10.1111/j.1365-313X.2008.03707.x	 Dwarfism. Primary root elongation. Leaf angle. Fertility. Brassinosteroid homeostasis. Gibberellin sensitivity.
LGN-R	Maize		9	GRMZM2G134382	47658297	47660713			10.1534/g3.114.014183	
knox2	Maize		9	GRMZM2G055243	93868786	93877183			10.1105/tpc.6.12.1877	
LPA1	Rice		9	GRMZM2G074032	144292832	144296553	Os03g0237250	LOC_Os03g13400	10.1104/pp.112.208496	
drl2	Maize		9	GRMZM2G102218	146951299	146956590			10.1105/tpc.16.00477	
Rld1	Maize		9	GRMZM2G109987	154912262	154920527			10.1242/dev.01328	
OsBAK	Rice		10	GRMZM2G384439	71477986	71484046	Os08g0174700	LOC_Os08g07760	10.1111/j.1467-7652.2009.00444.x	
yabby14	Maize		10	GRMZM2G005353	133133767	133136401			10.1242/dev.01328	
XIAO	Rice		10	GRMZM2G016477	136139046	136143214	Os04g0576900	LOC_Os04g48760	10.1111/j.1365-313X.2011.04877.x	 Dwarfism. Grain size. Leaf angle. Fertility. Cell division. Brassinosteroid sensitivity.
OsLG1	Rice		10	GRMZM2G058588	145726895	145730461	Os04g0656500	LOC_Os04g56170	10.1007/s11103-007-9196-1	
phyC1	Maize		1	GRMZM2G057935	277059620	277064623			10.1534/genetics.103.026096	
phyB2	Maize		9	GRMZM2G092174	135245567	135251882			10.1534/genetics.103.026096	
phyB1	Maize		1	GRMZM2G124532	50023180	50034523			10.1534/genetics.103.026096	
phyC2	Maize		5	GRMZM2G129889	7129937	7134953			10.1534/genetics.103.026096	
phyA1	Maize		1	GRMZM2G157727	269388274	269395277			10.1534/genetics.103.026096	
phyA2	Maize		5	GRMZM2G181028	10111505	10117216			10.1534/genetics.103.026096	
bhlh60	Maize		5	GRMZM2G016756	5102185	5106027			 10.1073/pnas.1207324109	 Internode elogation.
bhlh47	Maize		1	GRMZM2G065374	283670986	283676031			10.1093/jxb/erw217	
bhlh43	Maize		1	GRMZM2G165042	252434109	252437685			10.1093/jxb/erw217	
supPhyA	Rice		8	GRMZM2G020291	71691764	71699452	LOC_Os05g49590	Os05g0571000	Predicted Function in Rice	"Can't find actual gene name, it is a suppressor of phytochrome A"
supPhyA	Rice		6	GRMZM2G145556	165593302	165602395	LOC_Os05g49590	Os05g0571000	Predicted Function in Rice	"Can't find actual gene name, it is a suppressor of phytochrome A"
bhlh68	Maize		3	GRMZM2G115960	48806991	48810673			10.1093/jxb/erw217	
pif3	Maize		8	GRMZM2G387528	935667	938714			10.1093/jxb/erw217	
dil1	Maize		6	GRMZM2G013657	143487859	143494583			10.1371/journal.pone.0037040	
